"","name","height","N_total","treelength","ntips","muml","etaml","lambdaml","tree_netdiv","tree_lambda","tree_mu","tree_relext","inference","number_of_supported","type","N_per_time"
"30","Mammalia_AlvarezCarretero2022",202.33574821,31.7732664964449,40901.0504002177,4705,3.98035506966247e-15,0.0133974068517807,0.146776627112865,0.136917698406486,0.137033166000515,0.00011546759402979,0.001149986193135,"empirical",70,"strong support",0.000776832530840717
"31","Orobanchaceae_Mortimer2022",35.374193,53.2279354590477,2871.9176205,917,0.0895650092539571,0.0139697205759255,0.769325204743714,0.451457414577168,0.541222302722721,0.0897648881455538,0.256650832238695,"empirical",55,"pooled",0.0185339353326509
"32","Orobanchaceae_Mortimer2022",35.374193,19.3632220291426,2871.9176205,917,0.0895650092539571,0.0139697205759255,0.769325204743714,0.451457414577168,0.541222302722721,0.0897648881455538,0.256650832238695,"empirical",55,"strong support",0.00674226234447889
"33","Phasmatodea_Bank2022",178.561369536,85.7133590991205,13752.878121548,513,0.0144771151836182,0.0069701240464913,0.0726524899785594,0.079559033730252,0.0877447571670568,0.0081857234368048,0.105683595425286,"empirical",4,"pooled",0.00623239429169556
"34","Phasmatodea_Bank2022",178.561369536,2.03957372640178,13752.878121548,513,0.0144771151836182,0.0069701240464913,0.0726524899785594,0.079559033730252,0.0877447571670568,0.0081857234368048,0.105683595425286,"empirical",4,"strong support",0.000148301592464939
"35","Pinophyta_Leslie2018",323.750735420542,29.8724983890101,12673.2611889819,581,0.133674267581359,0.00311738272481712,0.133674267581361,0.0302814182027878,0.0805470240510308,0.0502656058482431,0.678776953545843,"empirical",13,"pooled",0.00235712796758117
"36","Pinophyta_Leslie2018",323.750735420542,6.68917040739307,12673.2611889819,581,0.133674267581359,0.00311738272481712,0.133674267581361,0.0302814182027878,0.0805470240510308,0.0502656058482431,0.678776953545843,"empirical",13,"strong support",0.000527817608084069
"37","Poaceae_Spriggs2015",57.7995133375,190.91626997393,15258.038942301,3595,0.707075276786435,0.013857952891521,0.913552213260012,0.313387391394088,0.592993174976213,0.279605783582126,0.482486140952994,"empirical",88,"pooled",0.0125125037821629
"38","Poaceae_Spriggs2015",57.7995133375,33.7111373692062,15258.038942301,3595,0.707075276786435,0.013857952891521,0.913552213260012,0.313387391394088,0.592993174976213,0.279605783582126,0.482486140952994,"empirical",88,"strong support",0.00220940171254552
"39","Polypodiophyta_Nitta2022",419.584818,221.218461330138,96705.201536,5685,0.211495556782021,0.00243404580379492,0.234476625023376,0.054416580838012,0.143235551587586,0.0888189707495743,0.656786162444508,"empirical",186,"pooled",0.00228755493827068
"40","Polypodiophyta_Nitta2022",419.584818,64.7955584953738,96705.201536,5685,0.211495556782021,0.00243404580379492,0.234476625023376,0.054416580838012,0.143235551587586,0.0888189707495743,0.656786162444508,"empirical",186,"strong support",0.000670031781809096
"41","Rhopalocera_Kawahara2023",101.405307,707.587158774387,37765.424398,2248,3.95459574382901e-14,0.0195670727059446,0.127431551839884,0.141573887501726,0.141689806463568,0.000115918961842388,0.00101644238009136,"empirical",23,"pooled",0.0187363751382034
"42","Rhopalocera_Kawahara2023",101.405307,17.9011824858355,37765.424398,2248,3.95459574382901e-14,0.0195670727059446,0.127431551839884,0.141573887501726,0.141689806463568,0.000115918961842388,0.00101644238009136,"empirical",23,"strong support",0.000474009832305328
"43","Rosidae_Sun2020",117.92780016009,622.033543149891,151752.111168941,19740,0.978065233071303,0.00291536431154098,1.17224747209674,0.177202234396165,0.517961653078417,0.340759418682252,0.712438172970147,"empirical",1437,"pooled",0.00409901080359534
"44","Rosidae_Sun2020",117.92780016009,353.936710789926,151752.111168941,19740,0.978065233071303,0.00291536431154098,1.17224747209674,0.177202234396165,0.517961653078417,0.340759418682252,0.712438172970147,"empirical",1437,"strong support",0.00233233467438155
"45","Salvia_Kriebel2019",31.353426785,101.450900133101,2452.78351619686,519,1.61633374380586e-14,0.0410085489031537,0.267543201554604,0.292266792086194,0.292382769480971,0.000115977394777234,0.000509510583699685,"empirical",5,"pooled",0.0413615386205812
"46","Salvia_Kriebel2019",31.353426785,3.89848921943176,2452.78351619686,519,1.61633374380586e-14,0.0410085489031537,0.267543201554604,0.292266792086194,0.292382769480971,0.000115977394777234,0.000509510583699685,"empirical",5,"strong support",0.00158941430977835
"47","Squamata_Zheng2016",205.137521,624.197493884509,96474.350193,4162,1.55778623072431e-15,0.00658378181641548,0.0606162447986203,0.0657318196528901,0.0658459993197796,0.000114179666889416,0.00215344309252811,"empirical",42,"pooled",0.00647008756872456
"48","Squamata_Zheng2016",205.137521,19.2173114978704,96474.350193,4162,1.55778623072431e-15,0.00658378181641548,0.0606162447986203,0.0657318196528901,0.0658459993197796,0.000114179666889416,0.00215344309252811,"empirical",42,"strong support",0.00019919607086677
