"","N_lambda","N_mu","N_both","N_lambda_ratio","N_mu_ratio","N_both_ratio","N_sum","type","tree_index","ntip"
"70",0.00195263231576628,0.00193557409441339,0.00854842066084244,0.157006582622068,0.155634971070522,0.687358446307411,0.0124366270710221,"estimate, all pooled",73,73
"71",4.55563293115725e-06,7.85173364671624e-06,3.95850661533723e-05,0.0876210766037009,0.151016854458468,0.761362068937831,5.19924327312458e-05,"estimate, all pooled",74,668
"72",2.29312287435107,2.82292349522311,12.6310151061144,0.12921141212546,0.159064276589687,0.711724311284854,17.7470614756886,"estimate, all pooled",75,5688
"73",0.00185289327807234,0.00102568260774119,0.00541628138947256,0.223378560544122,0.123652833762087,0.652968605693791,0.00829485727528609,"estimate, all pooled",76,406
"74",0.325784245948712,0.339150437603033,1.52550814538615,0.148729855737289,0.154831905732724,0.696438238529987,2.19044282893789,"estimate, all pooled",77,252
"75",4.77988146838148,7.04137162574249,31.744583410365,0.109716278898696,0.161625993914221,0.728657727187083,43.565836504489,"estimate, all pooled",78,1042
"76",0.00339894145171027,0.00365780503404857,0.0154368301660873,0.151107202928144,0.162615536455753,0.686277260616103,0.0224935766518461,"estimate, all pooled",79,756
"77",1.37170253044703e-06,2.74489288768159e-06,1.18819183929287e-05,0.0857393722096224,0.171571742231736,0.742688885558642,1.59985138110573e-05,"estimate, all pooled",80,220
"78",0.000465233773163076,0.000503498370350387,0.002226298777265,0.145611665332404,0.157587949173184,0.696800385494412,0.00319503092077846,"estimate, all pooled",81,81
"79",3.18229188445102e-06,4.247050058101e-06,1.90076145987447e-05,0.120372853035485,0.160648221797647,0.718978925166868,2.64369565412968e-05,"estimate, all pooled",82,426
"80",0.349845484685795,0.337832121061636,1.48117442038147,0.161304450682245,0.155765408147563,0.682930141170193,2.1688520261289,"estimate, all pooled",83,154
"81",0.00082812810685662,0.000630376627522776,0.00309112418550666,0.182021022250175,0.138555613792468,0.679423363957357,0.00454962891988605,"estimate, all pooled",84,312
"82",0.000656134936189273,0.00041730222921241,0.00217093858255563,0.202237652837339,0.128623273514218,0.669139073648442,0.00324437574795731,"estimate, all pooled",85,593
"83",0.000755496692676614,0.000558168758864327,0.00274518674383366,0.186135551705373,0.137518867895807,0.67634558039882,0.0040588521953746,"estimate, all pooled",86,418
"84",5.56313060250625e-06,6.55359461156664e-06,2.94389330556234e-05,0.133871795903256,0.157706432395651,0.708421771701093,4.15556582696963e-05,"estimate, all pooled",87,682
"85",1.78562530211845,1.67308484665767,7.3384467229355,0.165379212632981,0.154956056167076,0.679664731199943,10.7971568717116,"estimate, all pooled",88,377
"86",1.04422593374518,0.941181682462535,4.29056097625284,0.166384824646769,0.149965964392045,0.683649210961186,6.27596859246055,"estimate, all pooled",89,303
"87",0.00275486112691097,0.00276928703522679,0.0124857231773568,0.152963953766274,0.153764953842503,0.693271092391224,0.0180098713394945,"estimate, all pooled",90,423
